x,y
58.8,-4.04908e-11
58.9,-3.72983e-11
59,-3.37669e-11
59.1,-2.99348e-11
59.2,-2.58433e-11
59.3,-2.15356e-11
59.4,-1.70566e-11
59.5,-1.24526e-11
59.6,-7.77059e-12
59.7,-3.05794e-12
59.8,1.63822e-12
59.9,6.27137e-12
60,1.07961e-11
60.1,1.51684e-11
60.2,1.93464e-11
60.3,2.32906e-11
60.4,2.69639e-11
60.5,3.03326e-11
60.6,3.33662e-11
60.7,3.60379e-11
60.8,3.83248e-11
60.9,4.02078e-11
61,4.16724e-11
61.1,4.27082e-11
61.2,4.3309e-11
61.3,4.34732e-11
61.4,4.32037e-11
61.5,4.25072e-11
61.6,4.13951e-11
61.7,3.98826e-11
61.8,3.79885e-11
61.9,3.57357e-11
62,3.31499e-11
62.1,3.02604e-11
62.2,2.70987e-11
62.3,2.36991e-11
62.4,2.00977e-11
62.5,1.63323e-11
62.6,1.2442e-11
62.7,8.46676e-12
62.8,4.44687e-12
62.9,4.22762e-13
63,-3.56551e-12
63.1,-7.47864e-12
63.2,-1.12785e-11
63.3,-1.49284e-11
63.4,-1.83936e-11
63.5,-2.16414e-11
63.6,-2.46418e-11
63.7,-2.73673e-11
63.8,-2.97936e-11
63.9,-3.18996e-11
64,-3.36674e-11
64.1,-3.5083e-11
64.2,-3.61357e-11
64.3,-3.68187e-11
64.4,-3.71288e-11
64.5,-3.70667e-11
64.6,-3.66367e-11
64.7,-3.58467e-11
64.8,-3.47082e-11
64.9,-3.3236e-11
65,-3.1448e-11
65.1,-2.93652e-11
65.2,-2.70111e-11
65.3,-2.44119e-11
65.4,-2.15959e-11
65.5,-1.85932e-11
65.6,-1.54355e-11
65.7,-1.21558e-11
65.8,-8.78782e-12
65.9,-5.36602e-12
66,-1.92492e-12
66.1,1.50108e-12
66.2,4.87806e-12
66.3,8.17295e-12
66.4,1.13538e-11
66.5,1.43901e-11
66.6,1.72532e-11
66.7,1.99162e-11
66.8,2.23547e-11
66.9,2.45467e-11
67,2.64729e-11
67.1,2.81167e-11
67.2,2.94646e-11
67.3,3.05062e-11
67.4,3.12341e-11
67.5,3.16442e-11
67.6,3.17357e-11
67.7,3.15108e-11
67.8,3.09748e-11
67.9,3.01362e-11
68,2.90063e-11
68.1,2.75993e-11
68.2,2.59319e-11
68.3,2.40233e-11
68.4,2.18948e-11
68.5,1.95698e-11
68.6,1.70734e-11
68.7,1.44322e-11
68.8,1.16737e-11
68.9,8.82656e-12
69,5.92004e-12
69.1,2.98358e-12
69.2,4.66733e-14
69.3,-2.86147e-12
69.4,-5.71223e-12
69.5,-8.47784e-12
69.6,-1.11316e-11
69.7,-1.36484e-11
69.8,-1.60044e-11
69.9,-1.81778e-11
70,-2.01489e-11
70.1,-2.19001e-11
70.2,-2.34161e-11
70.3,-2.46842e-11
70.4,-2.56943e-11
70.5,-2.64389e-11
70.6,-2.69132e-11
70.7,-2.71153e-11
70.8,-2.70457e-11
70.9,-2.6708e-11
71,-2.61081e-11
71.1,-2.52546e-11
71.2,-2.41585e-11
71.3,-2.28332e-11
71.4,-2.1294e-11
71.5,-1.95585e-11
71.6,-1.76457e-11
71.7,-1.55766e-11
71.8,-1.33732e-11
