x,y
2.36,-2.35239
2.364,-2.34839
2.368,-2.34439
2.372,-2.34039
2.376,-2.3364
2.38,-2.33241
2.384,-2.32842
2.388,-2.32443
2.392,-2.32045
2.396,-2.31647
2.4,-2.3125
2.404,-2.30853
2.408,-2.30457
2.412,-2.30062
2.416,-2.29667
2.42,-2.29274
2.424,-2.2888
2.428,-2.28488
2.432,-2.28097
2.436,-2.27707
2.44,-2.27317
2.444,-2.26929
2.448,-2.26542
2.452,-2.26156
2.456,-2.25771
2.46,-2.25388
2.464,-2.25006
2.468,-2.24625
2.472,-2.24245
2.476,-2.23868
2.48,-2.23491
2.484,-2.23116
2.488,-2.22743
2.492,-2.22372
2.496,-2.22002
2.5,-2.21634
2.504,-2.21268
2.508,-2.20903
2.512,-2.20541
2.516,-2.2018
2.52,-2.19822
2.524,-2.19465
2.528,-2.19111
2.532,-2.18759
2.536,-2.18409
2.54,-2.18061
2.544,-2.17716
2.548,-2.17373
2.552,-2.17032
2.556,-2.16694
2.56,-2.16358
2.564,-2.16025
2.568,-2.15695
2.572,-2.15367
2.576,-2.15041
2.58,-2.14719
2.584,-2.14399
2.588,-2.14082
2.592,-2.13768
2.596,-2.13457
2.6,-2.13148
2.604,-2.12843
2.608,-2.12541
2.612,-2.12242
2.616,-2.11946
2.62,-2.11653
2.624,-2.11363
2.628,-2.11077
2.632,-2.10794
2.636,-2.10514
2.64,-2.10238
2.644,-2.09965
2.648,-2.09696
2.652,-2.0943
2.656,-2.09168
2.66,-2.08909
2.664,-2.08654
2.668,-2.08403
2.672,-2.08155
2.676,-2.07912
2.68,-2.07672
2.684,-2.07436
2.688,-2.07203
2.692,-2.06975
2.696,-2.06751
2.7,-2.06531
2.704,-2.06315
2.708,-2.06102
2.712,-2.05895
2.716,-2.05691
2.72,-2.05491
2.724,-2.05296
2.728,-2.05105
2.732,-2.04918
2.736,-2.04736
2.74,-2.04558
2.744,-2.04385
2.748,-2.04216
2.752,-2.04051
2.756,-2.03891
2.76,-2.03736
2.764,-2.03586
2.768,-2.0344
2.772,-2.03298
2.776,-2.03162
2.78,-2.0303
2.784,-2.02903
2.788,-2.02781
2.792,-2.02663
2.796,-2.02551
2.8,-2.02443
2.804,-2.02341
2.808,-2.02243
2.812,-2.02151
2.816,-2.02063
2.82,-2.01981
2.824,-2.01904
2.828,-2.01832
2.832,-2.01765
2.836,-2.01703
2.84,-2.01647
2.844,-2.01596
2.848,-2.0155
